productID,ingredients_text
1,
2,
3,AQUA
3, ILLITE
3, PROPYLENE GLYCOL. KAOLIN
3, MONTMORILLONITE
3, TITANIUM DIOXIDE
3, PARFUM. SODIUM POLYACRYLATE
3, CALCITE
3, SODIUM ACRYLATE / SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER
3, POLYSORBATE 80
3, PHENOXYETHANOL
3, ISOHEXADECANE
3, DISODIUM COCOAMPHODIACETATE
3, MAGNESIUM ALUMINUM SILICATE
3, XANTHAN GUM
3, DISODIUM EDTA
3, CITRIC ACID
3, CAPRYLYL GLYCOL
3, ALCOHOL DENAT
3,  POLYSORBATE 20
3, MELALEUCA ALTERNIFOLIA LEAF EXTRACT
4,
5,Caprylic/capric triglyceride
5, PPG-5 pentaerythrityl ether
5, PEG-5 pentaerythrityl ether
5, Butyrospermum parkii butter/shea butter
5, cera alba/beeswax
5, panthenol
5, hydrogenated vegetable oil
5, ethylhexyl palmitate
5, silica silylate
5, polybutene
5, glycine soja/soybean stereols
5, aqua/water
5, sodium saccharin
5, myristyl malate phosphonic acid
5, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate
5,
6,Aqua/Water
6, C12-15 Alkyl Benzoate
6, Glycerin
6, Ethylhexyl Salicylate
6, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine
6, Alcohol Denat
6, Diisopropyl Sebacate
6, Butyl Methoxydibenzoylmethane
6, Drometrizole Trisiloxane
6, Propylene Glycol
6, Diethylhexyl Butamido Triazone
6, Dimethicone
6, Synthetic Wax
6, Titanium Dioxide
6, Potassium Cetyl Posphate
6, Ammonium Polyacryloyldimethyl Taurate
6, Caprylyl Glycol
6, Disodium EDTA
6, Glyceryl Stearate
6, Hydroxypropyl Methylcellulose
6, Isopropyl Lauroyl Sarcosinate
6, Palmitic Acid
6, Peg-100 Stearate
6, Pentylene Glycol Phenoxyethanol
6, Stearic Acid
6, Terephthalylidene Dicamphor Sulfonic Acid
6, Tocopherol
6, Triethanolamine
7,Helianthus Annuus (Sunflower) Seed Oil
7, Olea Europaea (Olive) Fruit Oil
7, Fragrance*
7, Arnica Montana Flower Extract
7, Betula Alba Leaf Extract
7, Limonene*
7,  Linaloo*
7, Geraniol*
7, Coumarin* *Composé présent dans les huiles essentielles naturelles
8,
9,
10,
11,alcohol denat. (SD alcohol 39C)
11, aqua (water)
11, parfum (fragrance)
11, limonene
11, citral
11, linalool.
12,
13,
14,
15,ethyl & but copolymhyl acetate
15, dimethicone
15, citric acid
15, nitrocellulose
15, isopropyl alcohol
15, benzopheonone-1
15, neopentyl glycol
15, trimellitic anhydride copolymer
15, triphenyl phosphate
15, stearalkonium
15, trimethyl pentanyl
15, hectorite / bentoniteadipic acid
15, dilsobutyrate. (+ / -) : mica
15, silica
15, titanium dioxide
15, FD&C yellow 5
15, bismuth oxychloride
15, D&C red 6
15, 7
15, 34
15, ferric ammonium / ferrocyanide
15, polyethylene terephthalate
16,
17,aqua (purfi dwater)
17, glycarin vegetable)
17, polysorbate 20
17, aloe barbadensi (aloe vera) leaf juice decolorized)
17, menthol
17, mentha piperita (peppermint) oil
17, stvia rebaudiana (stevia) extract
17, anethole
17, echinacea purpurer echiracaa) extract
17, citrus aurantium dulcis (orange) oil citrus limon lemon) peel oil
17, lavandula angustifolia (lavender) oil
17, ricinus comm nis (castor) seed oil
17, hydrastis canadensis (goldenseal) leaf extract
17, pimpinella anisum (anise) fruit oil
17, pelargonium graveolens (geranium) oil
17, rosmarinus officinalis (rosemary) leaf/stem oil
17, hamamelis virginiana witch hazel) water
